,Adipose
123,"[345.59775646167026, 672.0192466456022, 0]"
124,"[325.441386704489, 673.6989441253673, 0]"
125,"[319.28277589493024, 703.9334987611392, 0]"
126,"[298.0060479187457, 724.0898685183205, 0]"
127,"[274.4902832020342, 743.1258800564983, 0]"
128,"[249.85500011505928, 756.0041206338574, 0]"
129,"[214.5813530399921, 771.680737212505, 0]"
130,"[192.74528580304573, 787.9183727493944, 0]"
131,"[158.03181783748022, 796.3168601482199, 0]"
132,"[134.51605312076876, 795.7566810387183, 0]"
133,"[115.47920173385093, 812.5536558363693, 0]"
134,"[89.7235604278727, 826.5514147839918, 0]"
135,"[59.48900579210082, 833.2702047030523, 0]"
136,"[32.61384611585915, 841.1085129923761, 0]"
137,"[2.3792914800872706, 834.3897230733156, 0]"
138,"[0.14025473956038623, 815.3528716863979, 0]"
139,"[1.8199522193254905, 787.3581936398928, 0]"
140,"[0.699594000322166, 763.2822498136795, 0]"
141,"[1.2597731098238283, 729.6883002183774, 0]"
142,"[2.939470589588933, 710.6522886801996, 0]"
143,"[-0.41992436994127613, 683.2169498944562, 0]"
144,"[0.14025473956038623, 655.2222718479511, 0]"
145,"[1.8199522193254905, 627.2267539527061, 0]"
146,"[1.2597731098238283, 602.0312917562295, 0]"
147,"[0.699594000322166, 586.9140144383437, 0]"
148,"[3.499649699090595, 562.8389104608705, 0]"
149,"[3.499649699090595, 538.7629666346572, 0]"
150,"[1.2597731098238283, 519.1667759869777, 0]"
151,"[0.699594000322166, 494.53065305126285, 0]"
152,"[2.939470589588933, 476.6141598833484, 0]"
153,"[1.8199522193254905, 451.9788767963735, 0]"
154,"[413.625504392157, 577.8159330391959, 0]"
155,"[424.96346238057146, 599.6520002761423, 0]"
156,"[455.19801701634333, 591.2535128773168, 0]"
157,"[463.59650441516885, 569.8373700103117, 0]"
158,"[462.336731305345, 551.7806221028368, 0]"
159,"[448.89915146722416, 542.1223615941875, 0]"
160,"[429.1627060799842, 548.8411515132478, 0]"
161,"[420.7642186811587, 561.4388826114862, 0]"
162,"[143.61413451991643, 364.9142774789689, 0]"
163,"[148.65322695921174, 381.71125227662, 0]"
164,"[168.809596716393, 380.87140353673743, 0]"
165,"[178.04793285510107, 366.1740505887928, 0]"
166,"[178.46785722504234, 351.4766976408481, 0]"
167,"[170.4892941961581, 343.9180589819051, 0]"
168,"[153.2723950285658, 353.9962438604958, 0]"
169,"[57.52963868195483, 382.55110101650257, 0]"
170,"[70.1273697801931, 378.3518573170898, 0]"
171,"[78.94578154895991, 385.0706472361502, 0]"
172,"[76.42623532931225, 393.889059004917, 0]"
173,"[65.50820171083907, 399.7680001840949, 0]"
174,"[57.52963868195483, 398.508227074271, 0]"
175,"[54.59016809236589, 392.2093615251519, 0]"
